frame_id,timestamp,rel_time_s,當前幀狀態,上一幀狀態,tracking_method,init_matches,initial_matches,matches_before_tlm_opt,matches_after_tlm_opt,final_inliers,opt_type,need_new_kf,new_kf_created,total_kf_in_map,total_mp_in_map,local_map_mp_count,local_kf_count,map_updated,total_maps,reloc_attempted,reloc_success,reloc_candidates,reloc_bow_pass,reloc_pnp_inliers,imu_initialized,bias_acc_norm,bias_gyro_norm,preintegration_ms,pose_pred_ms,track_local_map_ms,need_new_kf_ms,total_tracking_ms,source,event_type,kf_id,track_frame_id,map_id,tracking_state,visual_chi2_mean,visual_chi2_max,imu_chi2_mean,imu_chi2_max,imu_rot_res_norm,imu_vel_res_norm,imu_pos_res_norm,gyro_rw_chi2,acc_rw_chi2,pose_update_norm,velocity_update_norm,bias_update_norm
10,1403715524.412143,0.500000,OK,OK,MM,0,52,61,60,60,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.210,0.179,0.005,0.563,Tracking,FRAME_PROCESSED,0,10,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000505,0.000000,0.000000
11,1403715524.462143,0.550000,OK,OK,MM,0,58,63,61,61,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.248,0.193,0.006,0.637,Tracking,FRAME_PROCESSED,0,11,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000121,0.000000,0.000000
12,1403715524.512143,0.600000,OK,OK,MM,0,59,63,63,63,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.248,0.202,0.005,0.627,Tracking,FRAME_PROCESSED,0,12,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000095,0.000000,0.000000
13,1403715524.562143,0.650000,OK,OK,MM,0,59,58,57,57,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.267,0.153,0.005,0.583,Tracking,FRAME_PROCESSED,0,13,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000005,0.000000,0.000000
14,1403715524.612143,0.700000,OK,OK,MM,0,56,60,60,60,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.218,0.128,0.005,0.499,Tracking,FRAME_PROCESSED,0,14,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000020,0.000000,0.000000
15,1403715524.662143,0.750000,OK,OK,MM,0,58,56,56,56,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.210,0.158,0.005,0.533,Tracking,FRAME_PROCESSED,0,15,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000294,0.000000,0.000000
16,1403715524.712143,0.800000,OK,OK,MM,0,55,61,61,61,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.230,0.154,0.005,0.531,Tracking,FRAME_PROCESSED,0,16,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000220,0.000000,0.000000
17,1403715524.762143,0.850000,OK,OK,MM,0,56,56,56,56,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.207,0.111,0.005,0.469,Tracking,FRAME_PROCESSED,0,17,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
18,1403715524.812143,0.900000,OK,OK,MM,0,54,59,59,59,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.332,0.247,0.006,0.757,Tracking,FRAME_PROCESSED,0,18,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000056,0.000000,0.000000
19,1403715524.862143,0.950000,OK,OK,MM,0,58,57,57,57,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.221,0.163,0.005,0.527,Tracking,FRAME_PROCESSED,0,19,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000215,0.000000,0.000000
20,1403715524.912143,1.000000,OK,OK,MM,0,53,52,52,52,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.188,0.133,0.005,0.479,Tracking,FRAME_PROCESSED,0,20,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000564,0.000000,0.000000
21,1403715524.962143,1.050000,OK,OK,MM,0,49,54,54,54,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.208,0.169,0.005,0.531,Tracking,FRAME_PROCESSED,0,21,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.001189,0.000000,0.000000
22,1403715525.012143,1.100000,OK,OK,MM,0,50,58,57,57,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.207,0.181,0.005,0.551,Tracking,FRAME_PROCESSED,0,22,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000615,0.000000,0.000000
23,1403715525.062143,1.150000,OK,OK,MM,0,54,53,52,52,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.219,0.136,0.005,0.511,Tracking,FRAME_PROCESSED,0,23,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000020,0.000000,0.000000
24,1403715525.112143,1.200000,OK,OK,MM,0,51,55,54,54,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.215,0.192,0.005,0.561,Tracking,FRAME_PROCESSED,0,24,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000191,0.000000,0.000000
25,1403715525.162143,1.250000,OK,OK,MM,0,48,51,50,50,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.192,0.148,0.005,0.493,Tracking,FRAME_PROCESSED,0,25,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000228,0.000000,0.000000
26,1403715525.212143,1.300000,OK,OK,MM,0,46,57,56,56,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.189,0.179,0.005,0.521,Tracking,FRAME_PROCESSED,0,26,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000346,0.000000,0.000000
27,1403715525.262143,1.350000,OK,OK,MM,0,52,52,51,51,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.187,0.147,0.005,0.491,Tracking,FRAME_PROCESSED,0,27,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000100,0.000000,0.000000
28,1403715525.312143,1.400000,OK,OK,MM,0,51,55,54,54,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.202,0.149,0.005,0.507,Tracking,FRAME_PROCESSED,0,28,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000042,0.000000,0.000000
29,1403715525.362143,1.450000,OK,OK,MM,0,54,55,54,54,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.208,0.132,0.005,0.485,Tracking,FRAME_PROCESSED,0,29,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000227,0.000000,0.000000
30,1403715525.412143,1.500000,OK,OK,MM,0,50,53,53,53,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.182,0.112,0.005,0.446,Tracking,FRAME_PROCESSED,0,30,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000074,0.000000,0.000000
31,1403715525.462143,1.550000,OK,OK,MM,0,50,54,53,53,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.188,0.162,0.005,0.510,Tracking,FRAME_PROCESSED,0,31,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000403,0.000000,0.000000
32,1403715525.512143,1.600000,OK,OK,MM,0,51,50,49,49,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.215,0.130,0.005,0.501,Tracking,FRAME_PROCESSED,0,32,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000018,0.000000,0.000000
33,1403715525.562143,1.650000,OK,OK,MM,0,46,55,55,55,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.202,0.167,0.006,0.538,Tracking,FRAME_PROCESSED,0,33,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000782,0.000000,0.000000
34,1403715525.612143,1.700000,OK,OK,MM,0,53,56,56,56,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.212,0.151,0.006,0.531,Tracking,FRAME_PROCESSED,0,34,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000053,0.000000,0.000000
35,1403715525.662143,1.750000,OK,OK,MM,0,51,52,51,51,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.205,0.154,0.005,0.507,Tracking,FRAME_PROCESSED,0,35,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.001196,0.000000,0.000000
36,1403715525.712143,1.800000,OK,OK,MM,0,49,52,52,52,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.204,0.148,0.005,0.503,Tracking,FRAME_PROCESSED,0,36,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000050,0.000000,0.000000
37,1403715525.762143,1.850000,OK,OK,MM,0,48,51,51,51,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.207,0.140,0.005,0.496,Tracking,FRAME_PROCESSED,0,37,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000086,0.000000,0.000000
38,1403715525.812143,1.900000,OK,OK,MM,0,47,49,49,49,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.198,0.187,0.006,0.542,Tracking,FRAME_PROCESSED,0,38,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000058,0.000000,0.000000
39,1403715525.862143,1.950000,OK,OK,MM,0,46,50,50,50,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.196,0.134,0.006,0.524,Tracking,FRAME_PROCESSED,0,39,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000906,0.000000,0.000000
40,1403715525.912143,2.000000,OK,OK,MM,0,44,51,51,51,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.188,0.163,0.005,0.514,Tracking,FRAME_PROCESSED,0,40,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000270,0.000000,0.000000
41,1403715525.962143,2.050000,OK,OK,MM,0,51,61,61,61,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.207,0.173,0.005,0.539,Tracking,FRAME_PROCESSED,0,41,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.001799,0.000000,0.000000
42,1403715526.012143,2.100000,OK,OK,MM,0,56,56,55,55,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.183,0.145,0.005,0.475,Tracking,FRAME_PROCESSED,0,42,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000967,0.000000,0.000000
43,1403715526.062143,2.150000,OK,OK,MM,0,53,59,59,59,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.202,0.158,0.005,0.531,Tracking,FRAME_PROCESSED,0,43,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000334,0.000000,0.000000
44,1403715526.112143,2.200000,OK,OK,MM,0,57,60,58,58,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.231,0.158,0.005,0.556,Tracking,FRAME_PROCESSED,0,44,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000086,0.000000,0.000000
45,1403715526.162143,2.250000,OK,OK,MM,0,55,58,58,58,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.497,0.196,0.005,0.845,Tracking,FRAME_PROCESSED,0,45,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000217,0.000000,0.000000
46,1403715526.212143,2.300000,OK,OK,MM,0,55,58,58,58,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.205,0.136,0.005,0.496,Tracking,FRAME_PROCESSED,0,46,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000252,0.000000,0.000000
47,1403715526.262143,2.350000,OK,OK,MM,0,55,54,53,53,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.209,0.127,0.005,0.485,Tracking,FRAME_PROCESSED,0,47,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000006,0.000000,0.000000
48,1403715526.312143,2.400000,OK,OK,MM,0,51,59,58,58,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.212,0.142,0.005,0.516,Tracking,FRAME_PROCESSED,0,48,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000068,0.000000,0.000000
49,1403715526.362143,2.450000,OK,OK,MM,0,53,56,55,55,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.220,0.180,0.005,0.557,Tracking,FRAME_PROCESSED,0,49,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.002140,0.000000,0.000000
50,1403715526.412143,2.500000,OK,OK,MM,0,52,61,61,61,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.208,0.138,0.005,0.497,Tracking,FRAME_PROCESSED,0,50,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000238,0.000000,0.000000
51,1403715526.462143,2.550000,OK,OK,MM,0,55,57,56,56,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.216,0.182,0.005,0.557,Tracking,FRAME_PROCESSED,0,51,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000494,0.000000,0.000000
52,1403715526.512143,2.600000,OK,OK,MM,0,55,59,58,58,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.196,0.141,0.005,0.490,Tracking,FRAME_PROCESSED,0,52,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000035,0.000000,0.000000
53,1403715526.562143,2.650000,OK,OK,MM,0,56,58,58,58,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.213,0.180,0.005,0.569,Tracking,FRAME_PROCESSED,0,53,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000253,0.000000,0.000000
54,1403715526.612143,2.700000,OK,OK,MM,0,56,56,56,56,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.199,0.154,0.005,0.506,Tracking,FRAME_PROCESSED,0,54,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000449,0.000000,0.000000
55,1403715526.662143,2.750000,OK,OK,MM,0,54,59,59,59,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.208,0.170,0.005,0.533,Tracking,FRAME_PROCESSED,0,55,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000667,0.000000,0.000000
56,1403715526.712143,2.800000,OK,OK,MM,0,58,58,58,58,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.217,0.202,0.006,0.569,Tracking,FRAME_PROCESSED,0,56,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000001,0.000000,0.000000
57,1403715526.762143,2.850000,OK,OK,MM,0,55,56,56,56,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.211,0.143,0.005,0.505,Tracking,FRAME_PROCESSED,0,57,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000079,0.000000,0.000000
58,1403715526.812143,2.900000,OK,OK,MM,0,56,62,62,62,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.219,0.149,0.005,0.531,Tracking,FRAME_PROCESSED,0,58,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000079,0.000000,0.000000
59,1403715526.862143,2.950000,OK,OK,MM,0,61,62,62,62,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.226,0.149,0.005,0.527,Tracking,FRAME_PROCESSED,0,59,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000010,0.000000,0.000000
60,1403715526.912143,3.000000,OK,OK,MM,0,54,53,53,53,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.215,0.156,0.005,0.533,Tracking,FRAME_PROCESSED,0,60,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000284,0.000000,0.000000
61,1403715526.962143,3.050000,OK,OK,MM,0,52,58,58,58,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.204,0.169,0.005,0.521,Tracking,FRAME_PROCESSED,0,61,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000038,0.000000,0.000000
62,1403715527.012143,3.100000,OK,OK,MM,0,55,52,52,52,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.217,0.156,0.005,0.524,Tracking,FRAME_PROCESSED,0,62,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000308,0.000000,0.000000
63,1403715527.062143,3.150000,OK,OK,MM,0,52,60,60,60,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.210,0.143,0.005,0.520,Tracking,FRAME_PROCESSED,0,63,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000474,0.000000,0.000000
64,1403715527.112143,3.200000,OK,OK,MM,0,56,56,55,55,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.235,0.147,0.005,0.532,Tracking,FRAME_PROCESSED,0,64,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
65,1403715527.162143,3.250000,OK,OK,MM,0,52,56,56,56,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.214,0.192,0.005,0.557,Tracking,FRAME_PROCESSED,0,65,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000050,0.000000,0.000000
66,1403715527.212143,3.300000,OK,OK,MM,0,54,58,58,58,PoseOpt,no,no,1,69,69,1,no,1,no,no,0,0,0,no,0.000000,0.000000,0.000,0.217,0.149,0.005,0.521,Tracking,FRAME_PROCESSED,0,66,0,OK,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000520,0.000000,0.000000
